Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL
550,4Y1HG6CCJG,"Furnofy Reversible King Size Comforter/Quilt/Duvet, Microfibre, Dark Flowers, 200x220 cm",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/5/a29a8930-bfc6-4b79-8592-77e266050057_561424_1.jpg,1pack,https://www.swiggy.com/stores/instamart/p/4Y1HG6CCJG?custom_back=true
551,IOMJ134NYF,"vivo TWS Earbuds 3e ANC, Noise Cancelling, 42Hrs Battery Life With Quick Charge, Dual Device Connection, 88ms Low Latency For Gaming, IP54 -Dark Indigo",Electronics and Appliances,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/680cd530-60ce-41fb-918d-548fc34267e4_273909_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/IOMJ134NYF?custom_back=true
552,C0KFC18GIJ,Nu Republic Celebration Pack Of Bass & Pop Edition With Sonicpop 50 Wireless Speaker & Epic X3 Truly Wireless Earbuds-Blue & Black,Electronics and Appliances,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/24/5118949c-9391-4cb7-a12b-798a010d8c27_339218_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/C0KFC18GIJ?custom_back=true
553,SRFU3O5FLG,Nu Republic Celebration Pack Of Girl Power Edition Epic X3 Truly Wireless Earbudsâ€“Vibrant Pink & Green,Electronics and Appliances,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/24/05bc9263-5342-4e35-b6ed-a1329c523827_474417_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/SRFU3O5FLG?custom_back=true
554,QJWWA4PN58,"vivo TWS Earbuds 3e ANC, Noise Cancelling, 42Hrs Battery Life With Quick Charge, Dual Device Connection, 88ms Low Latency For Gaming, IP54 -Bright White",Electronics and Appliances,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/26/2f284be5-3d81-44c2-b0f2-98d6a08913a1_134068_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/QJWWA4PN58?custom_back=true
555,12TULJ5YBC,Oye Happy Multipurpose Swiss Knife,Hygiene and Wellness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/5/a3aef4e4-9aa5-4c29-99d8-ae93fcbf69c0_685114_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/12TULJ5YBC?custom_back=true
556,DPRSW9VFU5,Oye Happy Maximum Strength Pepper Spray,Hygiene and Wellness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/6/bcfb00f3-a195-4036-9a45-ea64192b4687_831324_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/DPRSW9VFU5?custom_back=true
557,JCYW4M5LN2,Oye Happy Whistle Blower,Hygiene and Wellness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/13/48799e86-7394-4f49-94a3-f53e453ce9f2_379874_1.png,2pieces,https://www.swiggy.com/stores/instamart/p/JCYW4M5LN2?custom_back=true
558,N440AL9UR0,Celio Blue Solid Formal Shirt - XXL,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/24/916ec1f3-d57c-4ee8-a93b-4a5b36abd1a5_361294_1.png,1XXL,https://www.swiggy.com/stores/instamart/p/N440AL9UR0?custom_back=true
559,8VHHS0Q259,"Furnofy 140 Gsm Premium Double Bedsheet (90x100 Inches) with 2 Pillow Covers - Flat, Multicolor - White-Blue Flowers",Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/2/00e598cc-d783-414a-924b-437e2985753f_178767_1.png,1pack,https://www.swiggy.com/stores/instamart/p/8VHHS0Q259?custom_back=true
